lat,lon,system,datetime_cst,turb,ndti,dwl,zone,secchi,tsi_sd
31.90272,-103.9145,redbluff,2022-08-08T12:51:54Z,5.13,-0.22139303482587064,541,body,1.0257722018524442,59.63289619685435
31.90273,-103.9145,redbluff,2022-08-08T12:51:55Z,5.19,-0.22139303482587064,541,body,1.0176931888583587,59.746973124841965
31.90274,-103.9146,redbluff,2022-08-08T12:51:56Z,5.26,-0.22139303482587064,541,body,1.0084637529194853,59.8784076971604
31.90275,-103.9146,redbluff,2022-08-08T12:51:57Z,5.27,-0.22139303482587064,541,body,1.0071620902397518,59.89704114106456
31.90276,-103.9146,redbluff,2022-08-08T12:51:58Z,5.28,-0.22139303482587064,541,body,1.0058645705010367,59.91563926088328
31.90277,-103.9146,redbluff,2022-08-08T12:51:59Z,5.33,-0.2601010101010101,535,body,0.999438386165291,60.00810465099744
31.90278,-103.9146,redbluff,2022-08-08T12:52:00Z,5.32,-0.2601010101010101,535,body,1.000715503230663,59.989681161514895
31.90278,-103.9146,redbluff,2022-08-08T12:52:01Z,5.31,-0.2601010101010101,535,body,1.0019966597061603,59.9712230088144
31.90279,-103.9146,redbluff,2022-08-08T12:52:02Z,5.3,-0.2601010101010101,535,body,1.0032818760114166,59.95273006221452
31.9028,-103.9147,redbluff,2022-08-08T12:52:03Z,5.32,-0.21804511278195488,536,body,1.000715503230663,59.989681161514895
31.90281,-103.9147,redbluff,2022-08-08T12:52:04Z,5.32,-0.21804511278195488,536,body,1.000715503230663,59.989681161514895
31.90281,-103.9147,redbluff,2022-08-08T12:52:05Z,5.32,-0.21804511278195488,536,body,1.000715503230663,59.989681161514895
31.90282,-103.9147,redbluff,2022-08-08T12:52:06Z,5.3,-0.21804511278195488,536,body,1.0032818760114166,59.95273006221452
31.90283,-103.9147,redbluff,2022-08-08T12:52:07Z,5.29,-0.21804511278195488,536,body,1.004571172708073,59.934202190293426
31.90284,-103.9147,redbluff,2022-08-08T12:52:08Z,5.16,-0.21804511278195488,536,body,1.021712967339631,59.69010047127065
31.90285,-103.9147,redbluff,2022-08-08T12:52:09Z,5.1,-0.21804511278195488,536,body,1.0298715138296466,59.57535641157924
31.90285,-103.9147,redbluff,2022-08-08T12:52:10Z,5.05,-0.21804511278195488,536,body,1.036794492329555,59.47870040544014
31.90286,-103.9148,redbluff,2022-08-08T12:52:11Z,5.02,-0.21804511278195488,536,body,1.041003819670794,59.42024637789181
31.90287,-103.9148,redbluff,2022-08-08T12:52:12Z,5.02,-0.21804511278195488,536,body,1.041003819670794,59.42024637789181
31.90288,-103.9148,redbluff,2022-08-08T12:52:13Z,5,-0.21804511278195488,536,body,1.0438335927609421,59.38108263220391
31.90289,-103.9148,redbluff,2022-08-08T12:52:14Z,4.95,-0.21804511278195488,536,body,1.0509919536000192,59.28248375938526
31.9029,-103.9148,redbluff,2022-08-08T12:52:15Z,4.96,-0.21804511278195488,536,body,1.0495505860440058,59.30228296946823
31.90291,-103.9148,redbluff,2022-08-08T12:52:16Z,4.92,-0.21804511278195488,536,body,1.055345564590735,59.22284524583895
31.90292,-103.9148,redbluff,2022-08-08T12:52:17Z,4.92,-0.21804511278195488,536,body,1.055345564590735,59.22284524583895
31.90293,-103.9148,redbluff,2022-08-08T12:52:18Z,4.87,-0.21804511278195488,536,body,1.0627015659110615,59.122634923400014
31.90294,-103.9148,redbluff,2022-08-08T12:52:19Z,4.89,-0.21804511278195488,536,body,1.0597440036048023,59.16284196847464
31.90295,-103.9148,redbluff,2022-08-08T12:52:20Z,4.88,-0.21804511278195488,536,body,1.061220239295402,59.14275904382319
31.90296,-103.9149,redbluff,2022-08-08T12:52:21Z,4.88,-0.21804511278195488,536,body,1.061220239295402,59.14275904382319
31.90297,-103.9149,redbluff,2022-08-08T12:52:22Z,4.87,-0.21804511278195488,536,body,1.0627015659110615,59.122634923400014
