system,site,lat,lon,turb_lab,turb_ysi,chla_lab,chla_ysi,turb_ysi_m,chla_ysi_m
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.65,16.843333333333334,2.585,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.66,16.843333333333334,2.6433333333333335,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.67,16.843333333333334,2.75,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.68,16.843333333333334,2.703333333333333,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.69,16.843333333333334,2.625,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.7,16.843333333333334,2.622,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.71,16.843333333333334,2.868,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.72,16.843333333333334,2.634,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.73,16.843333333333334,2.6,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.74,16.843333333333334,2.7,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.75,16.843333333333334,2.755,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.76,16.843333333333334,2.724,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.77,16.843333333333334,3.0625,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.78,16.843333333333334,2.755,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.79,16.843333333333334,2.645,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.8,16.843333333333334,2.6666666666666665,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.81,16.843333333333334,2.76,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.82,16.843333333333334,2.6625,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.83,16.843333333333334,2.78875,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.84,16.843333333333334,2.71,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.85,16.843333333333334,2.68,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.86,16.843333333333334,2.78875,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.87,16.843333333333334,2.6866666666666665,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.88,16.843333333333334,2.7614285714285716,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.89,16.843333333333334,2.7213333333333334,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.9,16.843333333333334,2.5825,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.91,16.843333333333334,2.8833333333333333,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.92,16.843333333333334,2.67,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.94,16.843333333333334,2.721111111111111,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.95,16.843333333333334,2.7199999999999998,17.01182608695652,2.8576304034130122
Lake Arrowhead,AH1,33.74623,-98.3876,15.6,16.96,16.843333333333334,2.63,17.01182608695652,2.8576304034130122
