latitude,longitude,system,rrs_blue,rrs_green,rrs_red,turb,ndti
3532849.742355956,602199.2338552716,redbluff,0.01211114414036274,0.018037060275673866,0.013651425950229168,5.05,-0.13839835371687023
3532840.8743607225,602199.3223551629,redbluff,0.01211114414036274,0.018037060275673866,0.013651425950229168,5.05,-0.13839835371687023
3532832.0063655954,602199.4108548549,redbluff,0.012591102160513401,0.015389849431812763,0.012769343331456184,5.05,-0.09306041271803735
3532822.1242209375,602208.9642043699,redbluff,0.02514837682247162,0.029067853465676308,0.019253293052315712,5.07,-0.20311108325433083
3532812.14772654,602209.0637752456,redbluff,0.023205380886793137,0.029105491936206818,0.025960220023989677,5.1,-0.05711851895224123
3532802.171232279,602209.1633458688,redbluff,0.007195756305009127,0.014281753450632095,0.016397396102547646,5.1,0.06896027701968271
3532792.2890961757,602218.7167316192,redbluff,0.001974863698706031,0.007060173433274031,0.009611682966351509,5.11,0.1530429168724598
3532782.3126020427,602218.8163109506,redbluff,0.0015260155778378248,0.005942992400377989,0.002384752733632922,5.1,-0.42727528394367464
3532771.2276087203,602218.9269543563,redbluff,NA,NA,NA,5.08,NA
3532760.236981848,602228.4914426525,redbluff,NA,NA,NA,5.07,NA
3532750.2604880077,602228.5910303835,redbluff,NA,NA,NA,5.09,NA
3532738.066995722,602228.7127483785,redbluff,NA,NA,NA,5.05,NA
3532727.0763774384,602238.2772768241,redbluff,NA,NA,NA,5.05,NA
3532715.991384634,602238.3879391444,redbluff,NA,NA,NA,5.06,NA
3532704.9063919974,602238.498601153,redbluff,NA,NA,NA,5.06,NA
3532692.8072830476,602248.0742369222,redbluff,NA,NA,NA,5.1,NA
3532681.7222906025,602248.1849085126,redbluff,NA,NA,NA,5.1,NA
3532669.5287991096,602248.3066469021,redbluff,NA,NA,NA,5.11,NA
3532658.4438070194,602248.417317838,redbluff,NA,NA,NA,5.14,NA
3532646.344706717,602257.9930065589,redbluff,NA,NA,NA,5.15,NA
3532635.259714819,602258.1036870764,redbluff,NA,NA,NA,5.15,NA
3532623.066223924,602258.2254352855,redbluff,NA,NA,NA,5.14,NA
3532610.872733235,602258.3471831174,redbluff,0.002163001336157322,0.006648701149970293,0.0028531833086162806,5.15,-0.399448957509067
3532599.7877418753,602258.4578626372,redbluff,0.0032954069320112467,0.007043513935059309,0.004806544631719589,5.18,-0.18877284789215826
3532587.6886502476,602268.0336151904,redbluff,0.0028117515612393618,0.008001626469194889,0.0045508528128266335,5.21,-0.27490773566228294
3532575.4951599715,602268.1553731847,redbluff,0.0022820858284831047,0.007482524495571852,0.0043646227568387985,5.24,-0.26317742763757956
3532564.41016899,602268.266061943,redbluff,0.0022395034320652485,0.007082643918693066,0.00373534532263875,5.26,-0.3094196639857469
3532552.216679104,602268.387819217,redbluff,NA,NA,NA,5.28,NA
3532540.0231894213,602268.509576114,redbluff,NA,NA,NA,5.28,NA
3532527.829699944,602268.6313326337,redbluff,NA,NA,NA,5.31,NA
3532515.636210669,602268.753088776,redbluff,NA,NA,NA,5.34,NA
3532504.551220596,602268.863775851,redbluff,NA,NA,NA,5.34,NA
3532492.3577317116,602268.9855312732,redbluff,NA,NA,NA,5.34,NA
3532480.1642430294,602269.1072863182,redbluff,NA,NA,NA,5.31,NA
3532468.065160203,602278.6831571143,redbluff,NA,NA,NA,5.33,NA
3532456.9801706932,602278.7938530843,redbluff,NA,NA,NA,5.32,NA
3532444.786682426,602278.9156182912,redbluff,NA,NA,NA,5.28,NA
3532432.593194364,602279.0373831209,redbluff,NA,NA,NA,5.29,NA
3532420.399706504,602279.1591475732,redbluff,NA,NA,NA,5.25,NA
3532409.3147177184,602279.2698422024,redbluff,NA,NA,NA,5.23,NA
3532397.1212302484,602279.3916059346,redbluff,NA,NA,NA,5.26,NA
3532384.9277429814,602279.5133692895,redbluff,NA,NA,NA,5.25,NA
3532372.7342559206,602279.635132267,redbluff,NA,NA,NA,5.26,NA
3532361.7436806816,602289.2000400815,redbluff,NA,NA,NA,5.2,NA
3532349.5501938295,602289.3218135978,redbluff,NA,NA,NA,5.17,NA
3532337.356707183,602289.4435867368,redbluff,NA,NA,NA,5.13,NA
3532326.271719498,602289.5542892631,redbluff,NA,NA,NA,5.15,NA
3532314.078233239,602289.6760616818,redbluff,NA,NA,NA,5.15,NA
3532290.894180553,602299.3628154233,redbluff,NA,NA,NA,5.11,NA
3532278.7006947096,602299.4845980031,redbluff,NA,NA,NA,5.09,NA
3532267.7101366576,602309.0496109161,redbluff,NA,NA,NA,5.1,NA
3532255.5166510236,602309.1714040344,redbluff,NA,NA,NA,5.11,NA
3532244.431664262,602309.2821247233,redbluff,NA,NA,NA,5.1,NA
3532232.2381790173,602309.4039171211,redbluff,NA,NA,NA,5.07,NA
3532221.2476295577,602318.9689820854,redbluff,NA,NA,NA,5.09,NA
3532209.054144525,602319.0907850212,redbluff,NA,NA,NA,5.1,NA
3532197.9691583076,602319.2015146354,redbluff,NA,NA,NA,5.11,NA
3532186.9786174353,602328.766620735,redbluff,NA,NA,NA,5.1,NA
3532174.785132798,602328.8884338657,redbluff,NA,NA,NA,5.12,NA
3532163.700146941,602328.9991727478,redbluff,NA,NA,NA,5.12,NA
3532151.601116077,602338.5753948444,redbluff,NA,NA,NA,5.13,NA
3532140.516130411,602338.6861433064,redbluff,NA,NA,NA,5.14,NA
3532128.4171081483,602348.262397575,redbluff,NA,NA,NA,5.11,NA
3532117.3321226737,602348.3731556166,redbluff,NA,NA,NA,5.15,NA
3532105.138638846,602348.494989102,redbluff,NA,NA,NA,5.17,NA
3532094.053653725,602348.6057464886,redbluff,NA,NA,NA,5.16,NA
3532081.9546401096,602358.1820536973,redbluff,NA,NA,NA,5.14,NA
3532069.7611566954,602358.3038973428,redbluff,NA,NA,NA,5.13,NA
3532058.676171952,602358.4146639655,redbluff,NA,NA,NA,5.12,NA
3532046.577166959,602367.9910142235,redbluff,NA,NA,NA,5.1,NA
3532035.4921824066,602368.1017904257,redbluff,NA,NA,NA,5.07,NA
3532023.2986995936,602368.2236438876,redbluff,NA,NA,NA,5.07,NA
3532011.105216985,602368.345496972,redbluff,NA,NA,NA,5.06,NA
3532000.1147190477,602377.9108226314,redbluff,NA,NA,NA,5.06,NA
3531987.9212366487,602378.0326862528,redbluff,NA,NA,NA,5.04,NA
3531975.7277544546,602378.1545494966,redbluff,NA,NA,NA,5,NA
3531964.6427708166,602378.2653339359,redbluff,NA,NA,NA,5,NA
3531952.5437831194,602387.8417910626,redbluff,NA,NA,NA,5.03,NA
3531940.3503013384,602387.9636644657,redbluff,NA,NA,NA,5.02,NA
3531929.265318079,602388.0744581406,redbluff,NA,NA,NA,5.01,NA
3531917.0718366858,602388.1963308227,redbluff,NA,NA,NA,5,NA
3531904.972857638,602397.7728418771,redbluff,NA,NA,NA,5.01,NA
3531893.887874753,602397.8836447876,redbluff,NA,NA,NA,5,NA
3531881.694393776,602398.0055276286,redbluff,NA,NA,NA,5.01,NA
3531869.5954233482,602407.5820817312,redbluff,NA,NA,NA,5.01,NA
3531858.510440842,602407.6928938769,redbluff,NA,NA,NA,5.07,NA
3531846.3169602784,602407.8147868767,redbluff,NA,NA,NA,5.09,NA
3531834.1234799195,602407.9366794988,redbluff,NA,NA,NA,5.11,NA
3531823.133016344,602417.5022054043,redbluff,NA,NA,NA,5.12,NA
3531810.939536196,602417.6241085627,redbluff,NA,NA,NA,5.14,NA
3531798.7460562508,602417.7460113432,redbluff,NA,NA,NA,5.18,NA
3531787.755601262,602427.3115793725,redbluff,NA,NA,NA,5.21,NA
3531775.5621215263,602427.4334926892,redbluff,NA,NA,NA,5.19,NA
3531763.368641996,602427.555405628,redbluff,NA,NA,NA,5.17,NA
3531751.1751626683,602427.6773181891,redbluff,NA,NA,NA,5.16,NA
3531740.1847162712,602437.2429392542,redbluff,NA,NA,NA,5.14,NA
3531727.991237154,602437.3648623512,redbluff,NA,NA,NA,5.15,NA
3531715.797758241,602437.4867850703,redbluff,NA,NA,NA,5.12,NA
3531703.604279531,602437.6087074116,redbluff,NA,NA,NA,5.11,NA
3531692.519299063,602437.7195455757,redbluff,NA,NA,NA,5.11,NA
3531681.5288612638,602447.2852295972,redbluff,NA,NA,NA,5.05,NA
3531669.33538295,602447.4071621307,redbluff,NA,NA,NA,5.04,NA
3531658.250402841,602447.5180095604,redbluff,NA,NA,NA,4.98,NA
3531648.2739208876,602447.6177719802,redbluff,NA,NA,NA,4.94,NA
3531637.1889411,602447.7286188166,redbluff,NA,NA,NA,4.9,NA
3531627.212459434,602447.8283807023,redbluff,NA,NA,NA,4.86,NA
3531616.1274799653,602447.9392269453,redbluff,NA,NA,NA,4.84,NA
3531606.2455487107,602457.4939041927,redbluff,NA,NA,NA,4.84,NA
3531595.1605694,602457.6047600757,redbluff,NA,NA,NA,4.84,NA
3531585.1840881645,602457.7045301035,redbluff,NA,NA,NA,4.86,NA
3531575.2076070653,602457.8042998783,redbluff,NA,NA,NA,4.87,NA
