,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
574,NLA12_TX-176,NLA12_TX-176,TX,32.4657,-96.2002,7/10/2012,0.35,18.4,3.51444,all,1
575,NLA12_TX-199,NLA12_TX-199,TX,32.0483,-95.9987,8/29/2012,0.15,83.2,6.17689,all,1
576,NLA12_TX-201,NLA12_TX-201,TX,30.5589,-95.4971,7/18/2012,1.32,2.4,2.95251,all,1
577,NLA12_TX-205,NLA12_TX-205,TX,29.1269,-95.5817,7/27/2012,1.46,2.09,80.0241,all,1
578,NLA12_TX-218,NLA12_TX-218,TX,33.563,-97.0164,8/22/2012,0.55,7.65,203.148,all,1
579,NLA12_TX-232,NLA12_TX-232,TX,33.1705,-95.0912,9/18/2012,1.32,2.17,2.07953,all,1
580,NLA12_TX-235,NLA12_TX-235,TX,31.9239,-94.0803,9/20/2012,0.8,4.54,5.12288,all,1
581,NLA12_UT-186,NLA12_UT-186,UT,38.2351,-112.463,6/28/2012,1.14,5.5,9.62429,all,1
582,NLA12_UT-210,NLA12_UT-210,UT,38.7882,-111.775,7/11/2012,3.28,1.61,6.73678,all,1
583,NLA12_VA-109,NLA12_VA-109,VA,37.3526,-79.9264,6/5/2012,1.3,3.03,2.53385,all,1
584,NLA12_VA-111,NLA12_VA-111,VA,37.2026,-77.3529,7/10/2012,0.61,6.04,5.74043,all,1
585,NLA12_VA-114,NLA12_VA-114,VA,37.9753,-78.4281,6/14/2012,0.88,4.09,1.10443,all,1
586,NLA12_VA-116,NLA12_VA-116,VA,36.9385,-79.9285,6/6/2012,1.53,3.01,1.96282,all,1
587,NLA12_VA-118,NLA12_VA-118,VA,38.6636,-77.6684,7/17/2012,0.12,47.6,2.04113,all,1
588,NLA12_VA-123,NLA12_VA-123,VA,36.9178,-76.1517,8/8/2012,0.265,14.8,4.15494,all,1
589,NLA12_VA-126,NLA12_VA-126,VA,38.5575,-78.9698,7/26/2012,0.7,6.97,3.75108,all,1
590,NLA12_VA-130,NLA12_VA-130,VA,37.9936,-78.1776,8/15/2012,1.1,3.22,12.7118,all,1
591,NLA12_VA-R14,NLA12_VA-R14,VA,36.7499,-79.8736,7/24/2012,3.25,1.57,1.46055,all,1
592,NLA12_VA-R18,NLA12_VA-R18,VA,37.4127,-76.7105,8/7/2012,0.375,15.9,3.95627,all,1
593,NLA12_WA-106,NLA12_WA-106,WA,46.4965,-122.411,7/24/2012,0.9,5.36,84.033,all,1
594,NLA12_WA-109,NLA12_WA-109,WA,48.7087,-122.327,8/14/2012,2.48,0.64,10.3147,all,1
595,NLA12_WA-131,NLA12_WA-131,WA,48.3957,-120.185,8/8/2012,4.42,0.58,8.69157,all,1
596,NLA12_WI-129,NLA12_WI-129,WI,43.422,-87.9594,8/7/2012,1.9,3.4,2.07836,all,1
597,NLA12_WI-172,NLA12_WI-172,WI,43.4977,-89.2988,7/14/2012,0.55,6.3,35.4437,all,1
598,NLA12_WV-101,NLA12_WV-101,WV,39.4694,-79.4987,6/19/2012,4.82,0.33,60.8871,all,1
599,NLA12_WV-105,NLA12_WV-105,WV,38.3655,-81.2528,9/10/2012,0.5,11.7,2.6633,all,1
600,NLA12_WV-106,NLA12_WV-106,WV,38.9458,-80.4278,6/13/2012,2.38,2.07,1556.2,all,1
601,NLA12_WV-111,NLA12_WV-111,WV,39.5159,-80.4101,6/27/2012,2.72,1.16,5.19867,all,1
602,NLA12_WV-112,NLA12_WV-112,WV,38.8371,-82.1245,6/28/2012,0.425,7.61,10.1928,all,1
603,NLA12_WV-113,NLA12_WV-113,WV,38.4914,-79.3148,6/26/2012,1.25,3.32,3.78569,all,1
604,NLA12_WV-R01,NLA12_WV-R01,WV,37.9749,-80.9538,6/27/2012,4.2,0.69,6.96646,all,1
605,NLA12_WY-135,NLA12_WY-135,WY,41.5112,-105.417,7/11/2012,2.62,1.46,1.75877,all,1
606,NLA17_AL-10002,NLA17_AL-10002,AL,33.6733,-86.1645,8/14/2017,0.95,5.52,10363.3,all,1
607,NLA17_AL-10003,NLA17_AL-10003,AL,32.5172,-87.787,7/12/2017,0.45,25.8,4731.47,all,1
608,NLA17_AL-10018,NLA17_AL-10018,AL,33.2277,-87.1564,8/15/2017,2.1,1.9,11.1708,all,1
609,NLA17_AL-10020,NLA17_AL-10020,AL,31.2226,-85.6484,8/17/2017,2.25,4.74,1.40246,all,1
610,NLA17_AL-HP001,NLA17_AL-HP001,AL,33.2895,-87.686,9/6/2017,2.4,2.09,91.0347,all,1
611,NLA17_AR-10002,NLA17_AR-10002,AR,34.4176,-93.0701,6/12/2017,1.82,2.41,2428.92,all,1
612,NLA17_AR-10003,NLA17_AR-10003,AR,33.0756,-92.6606,8/3/2017,1.45,3.58,7.295,all,1
613,NLA17_AR-10004,NLA17_AR-10004,AR,34.6006,-92.5001,9/14/2017,1.25,4.95,2.0618,all,1
614,NLA17_AR-10021,NLA17_AR-10021,AR,33.64,-94.1423,8/10/2017,0.375,16.4,18.1904,all,1
615,NLA17_AR-HP001,NLA17_AR-HP001,AR,34.2145,-94.2147,7/20/2017,1.96,2.22,392.201,all,1
616,NLA17_AZ-10012,NLA17_AZ-10012,AZ,31.4246,-110.452,6/28/2017,2.55,1.52,52.0938,all,1
617,NLA17_AZ-10035,NLA17_AZ-10035,AZ,33.5115,-111.908,5/11/2017,1.23,4.31,5.07132,all,1
618,NLA17_AZ-10041,NLA17_AZ-10041,AZ,32.8183,-114.463,5/2/2017,0.45,17.6,155.176,all,1
619,NLA17_CA-10005,NLA17_CA-10005,CA,33.8012,-117.81,7/10/2017,1.4,3.63,70.103,all,1
620,NLA17_CA-10006,NLA17_CA-10006,CA,39.7262,-122.842,6/21/2017,2.35,1.62,1.03338,all,1
621,NLA17_CA-10021,NLA17_CA-10021,CA,35.6716,-120.571,7/11/2017,0.1,73.7,1.403,all,1
622,NLA17_CA-10064,NLA17_CA-10064,CA,38.0832,-122.518,6/5/2017,1.12,6.95,40.6509,all,1
