lat,lon,label,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,dwl,ndti,system,site,chla,turbidity,tp,tn,secchi,tss,afdm
31.986317,-103.981383,RB3,137,1227,1383,1340,1304,1482,1377,1440,1248,1246,1220,1242,1154,0,0,0,0,0,6,30,50,39,2483,563,-0.03672612801678909,Red Bluff Reservoir,RB3,58.833333333333336,11.4,0.06026666666666667,1.4775,0.4,21.2,11.2
32.00235,-103.979733,RB2,137,1282,1337,1301,1192,1448,1317,1437,1194,1221,1196,1190,1450,0,0,0,0,0,6,20,46,34,2483,563,-0.04737793851717902,Red Bluff Reservoir,RB2,54.36666666666667,16.6,0.06993333333333333,1.5666666666666667,0.375,14.8,8.75
33.64784958,-96.16458728,BON1,128.5,1270,1118,1062,1301,1349,1239.5,1261.5,1141.5,1149,1128.5,1113,1132,0,0,0,0,0,6,30,35.5,25.5,2808.5,544,-0.04230249179061232,Lake Bonham,BON1,45.666666666666664,8.6,0.0717,0.9545000000000001,0.6,10.5,11
33.649117,-96.148267,BON6,128.5,1235.5,1046,1048,1228,1171,1110.5,1106.5,1088.5,1102,1070,1067,1082,0,0,0,0,0,6,23.5,18.5,11.5,2808.5,485,-0.026517641902257288,Lake Bonham,BON6,30.866666666666667,5.17,0.053250000000000006,0.6859999999999999,1.1,6.97,8.46
33.65165,-96.136733,BON2,128.5,1247,1264.5,1156,1323.5,1406,1319.5,1327.5,1221,1250.5,1358,1198.5,1228,0,0,0,0,0,6,31.5,40.5,32.5,2808.5,560,-0.03173729590900752,Lake Bonham,BON2,35.53333333333333,5.21,0.05845,0.841,1.4,6.47,6.47
33.653917,-96.161033,BON5,128.5,1302,1122,1090,1310.5,1371.5,1239.5,1262.5,1154.5,1175.5,1147.5,1134,1159.5,0,0,0,0,0,6,32,38,24.5,2808.5,540,-0.050555342780543855,Lake Bonham,BON5,15.703333333333333,6.5,0.0527,0.8125,1.2,8.04,6.03
33.656033,-96.157833,BON4,128.5,1370.5,1115,1143,1319,1404.5,1271,1288.5,1177.5,1198.5,1171,1146.5,1398.5,0,0,0,0,0,6,34.5,41.5,28,2808.5,549,-0.04989721547374323,Lake Bonham,BON4,22,6.15,0.051500000000000004,0.7210000000000001,1.25,7.61,4.06
33.66265,-96.149,BON3,128.5,1276,1100,1092,1315,1371,1230,1237,1121.5,1148.5,1132.5,1114.5,1190.5,0,0,0,0,0,6,32,38.5,24.5,2808.5,534,-0.05420991926182238,Lake Bonham,BON3,41.733333333333334,6.8,0.0487,0.8975,1.2,8.91,6.44
33.67108,-98.3864,AH5,58,1607,1187,1157,1772,2140,2304,2329,1600,1637,1512,1410,1240,0,0,0,0,0,6,78,117,133,3491,576,0.0369036903690369,Lake Arrowhead,AH5,26.200000000000003,33.8,0.171,1.07,0.235,25,5.5
33.68267,-98.4266,AH2,58,1672,1232,1202,1836,2196,2588,2690,1949,1985,1796,1638,1307,0,0,0,0,0,6,85,122,162,3491,582,0.08193979933110368,Lake Arrowhead,AH2,9.786666666666667,67.3,0.17366666666666666,0.9443333333333334,0.135,34.5,8.5
33.70428,-98.3622,AH4,58,1603,1174,1144,1745,2088,2110,2122,1518,1528,1428,1349,1234,0,0,0,0,0,6,75,110,112,3491,572,0.005240590757503573,Lake Arrowhead,AH4,9.62,27.2,0.1405,1.009,0.3,18.5,3.5
33.74623,-98.3876,AH1,58,1428,1201,1162,1540,1744,1517,1544,1276,1297,1256,1232,1209,0,0,0,0,0,6,56,76,52,3491,552,-0.06961054891137688,Lake Arrowhead,AH1,16.843333333333334,15.6,0.092175000000000007,1.19,0.47,15.5,6.5
33.76283,-98.3658,AH3,58,1539,1385,1334,1652,1846,1604,1614,1451,1465,1408,1435,1422,0,0,0,0,0,6,67,86,62,3491,550,-0.07014492753623189,Lake Arrowhead,AH3,54.4,11.8,0.11133333333333334,1.11,0.65,9,4
