label,lat,lon,distkm,AOT,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,SCL,TCI_B,TCI_G,TCI_R,WVP,ndti,norm_dist,system
22,31.983301,-103.948517,10,137,259,181,154,290,494,312,313,114,142,117,110,51,0,0,0,0,0,6,30,51,32,2483,-0.22580645161290322,0.6329113924050632,redbluff
22,33.64661,-96.168051,3.01,123,322,137,110,324,386,275,333,182,176,159,126,154,0,0,0,0,0,6,34,40,29,2805,-0.16792738275340394,0.802832546514857,bonham
22,33.693392,-98.393211,9.86,58,609,151,116,767,1121,1219,1247,567,584,472,368,228,0,0,0,0,0,6,78,114,124,3491,0.04188034188034188,0.6799999999999999,arrowhead
23,31.533602,-97.231236,6.07,82,233,102,99,310,405,250,309,141,155,122,112,66,0,0,0,0,0,6,32,42,26,3030,-0.2366412213740458,0.6149949341438704,waco
23,31.554522,-99.683418,8.23,129,296,122,98,340,370,230,221,150,175,144,148,78,0,0,0,0,0,6,35,38,25,3533,-0.23333333333333334,0.39606666309415356,ohivie
23,31.836972,-99.093418,9.8,113,360,200,165,425,589,441,466,205,218,174,176,135,0,0,0,0,0,6,44,61,46,3741,-0.1436893203883495,0.9303274609336121,brownwood
23,31.985048,-103.949547,10.2,137,299,252,215,343,555,380,379,184,195,181,195,116,0,0,0,0,0,6,35,56,39,2483,-0.18716577540106952,0.6455696202531644,redbluff
23,33.645752,-96.170197,3.23,123,347,166,126,359,406,314,368,162,199,156,137,151,0,0,0,0,0,6,37,42,33,2805,-0.12777777777777777,0.8639266870313801,bonham
23,33.689393,-98.399734,10.6,58,633,166,137,771,1146,1349,1407,666,706,550,438,234,0,0,0,0,0,6,80,116,137,3491,0.0813627254509018,0.7310344827586207,arrowhead
24,31.531115,-97.233124,6.4,82,264,127,116,324,436,282,343,157,177,140,125,105,0,0,0,0,0,6,33,45,29,3030,-0.21448467966573817,0.6484295845997975,waco
24,31.557009,-99.685736,8.58,129,285,111,98,316,362,210,197,130,137,122,115,78,0,0,0,0,0,6,32,37,22,3533,-0.26573426573426573,0.4148223567868817,ohivie
24,31.837847,-99.09874,10.3,113,423,219,233,636,938,682,690,254,290,223,216,137,0,0,0,0,0,6,65,96,70,3741,-0.1580246913580247,0.9800935602667463,brownwood
24,31.986504,-103.950748,10.4,137,383,293,255,352,590,395,397,236,236,211,221,165,0,0,0,0,0,6,36,61,41,2483,-0.19796954314720813,0.6582278481012658,redbluff
24,33.644466,-96.171055,3.39,123,348,218,178,434,508,412,458,225,260,230,186,130,0,0,0,0,0,6,45,53,42,2805,-0.10434782608695652,0.9083587892252152,bonham
24,33.684251,-98.404541,11.3,58,641,180,148,783,1123,1360,1416,715,720,588,451,228,0,0,0,0,0,6,81,115,139,3491,0.09544905356423682,0.7793103448275862,arrowhead
25,31.527164,-97.236214,6.93,82,241,92,87,304,417,265,363,157,162,128,105,61,0,0,0,0,0,6,32,43,27,3030,-0.22287390029325513,0.7021276595744681,waco
25,31.560081,-99.689083,9.05,129,316,131,123,362,409,250,229,169,187,155,155,90,0,0,0,0,0,6,37,42,26,3533,-0.24127465857359637,0.44000857403140237,ohivie
25,31.837118,-99.100456,10.5,113,389,179,173,587,891,617,622,221,234,173,164,102,0,0,0,0,0,6,60,92,63,3741,-0.1816976127320955,1,brownwood
25,31.987305,-103.953238,10.7,137,270,235,214,273,481,315,320,136,180,144,166,99,0,0,0,0,0,6,29,49,32,2483,-0.20854271356783918,0.6772151898734177,redbluff
25,33.642966,-96.171913,3.58,123,448,307,275,504,585,495,569,340,358,297,300,242,0,0,0,0,0,6,52,60,51,2805,-0.08333333333333333,0.9611219105803944,bonham
25,33.680823,-98.412437,12.2,58,632,182,158,792,1150,1376,1489,738,763,600,476,246,0,0,0,0,0,6,81,118,140,3491,0.0894695170229612,0.8413793103448275,arrowhead
26,31.52475,-97.239304,7.32,82,264,91,93,343,495,317,427,162,190,141,116,88,0,0,0,0,0,6,36,51,33,3030,-0.21921182266009853,0.7416413373860183,waco
26,31.56169,-99.691143,9.32,129,338,144,131,387,436,271,258,192,213,185,193,117,0,0,0,0,0,6,40,45,29,3533,-0.2333804809052334,0.4544772520229355,ohivie
26,31.986577,-103.955297,10.9,137,286,247,233,266,468,297,317,153,176,141,158,115,0,0,0,0,0,6,28,48,31,2483,-0.2235294117647059,0.689873417721519,redbluff
26,33.64168,-96.172256,3.72,123,402,213,198,461,534,446,545,295,319,268,211,207,0,0,0,0,0,6,47,55,46,2805,-0.08979591836734693,1,bonham
26,33.679966,-98.42205,13.1,58,658,200,172,812,1176,1517,1606,866,900,709,569,277,0,0,0,0,0,6,83,120,155,3491,0.1266245822502785,0.903448275862069,arrowhead
27,31.521018,-97.242994,7.87,82,293,104,97,375,547,354,470,182,198,154,130,85,0,0,0,0,0,6,39,56,36,3030,-0.2142064372918979,0.7973657548125634,waco
27,31.563518,-99.695091,9.74,129,325,140,124,379,449,264,249,172,194,157,159,116,0,0,0,0,0,6,39,46,27,3533,-0.2594670406732118,0.47698408445420926,ohivie
27,31.98563,-103.957014,11.1,137,194,179,158,220,418,238,247,93,101,83,78,41,0,0,0,0,0,6,21,43,25,2483,-0.27439024390243905,0.7025316455696202,redbluff
27,33.679394,-98.430634,13.9,58,617,152,125,762,1145,1540,1687,928,954,760,612,281,0,0,0,0,0,6,79,117,157,3491,0.14711359404096835,0.9586206896551724,arrowhead
28,31.518165,-97.244368,8.21,82,337,98,92,463,685,474,656,245,269,210,160,80,0,0,0,0,0,6,48,70,49,3030,-0.182053494391717,0.8318135764944277,waco
28,31.564834,-99.697752,10,129,354,183,171,408,488,310,286,203,223,187,167,106,0,0,0,0,0,6,42,50,32,3533,-0.22305764411027568,0.49091688548309304,ohivie
28,31.984465,-103.959074,11.3,137,169,181,169,178,387,216,230,71,75,57,67,43,0,0,0,0,0,6,18,40,23,2483,-0.2835820895522388,0.7151898734177216,redbluff
28,33.67968,-98.437843,14.5,58,588,147,124,721,1108,1576,1770,1099,1167,939,767,409,0,0,0,0,0,6,74,113,161,3491,0.17436661698956782,1,arrowhead
29,31.514945,-97.246857,8.64,82,432,112,115,588,839,684,921,393,426,342,253,91,0,0,0,0,0,6,60,86,70,3030,-0.10177281680892974,0.8753799392097266,waco
