label,lat,lon,system,speed,datetime_utc,date_time_c,fdom,wtemp,chl_rfu,chl_ugl,turb,B2,B3,B4,B5,SCL,ndti,ndci,flag,flagneighbor,dwl
6915,31.55646,-99.67707,ivie,14.7,2022-08-07T17:47:04Z,2022-08-07T12:47:04Z,8.58,29.35,1.17,9.46,4.22,307.5,338.5,195,189,6,-0.2689784442361762,-0.015625,0,0,501
6916,31.55648,-99.67715,ivie,14,2022-08-07T17:47:05Z,2022-08-07T12:47:05Z,8.59,29.36,1.16,9.43,4.18,301.5,336,205,197,6,-0.24214417744916825,-0.01990049751243781,0,0,503
6916,31.86402,-99.02944,brownwood,0.9,2022-08-06T19:50:36Z,2022-08-06T14:50:36Z,8.48,30.62,1.6,10.95,10.2,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6917,31.55651,-99.67722,ivie,13.4,2022-08-07T17:47:06Z,2022-08-07T12:47:06Z,8.6,29.36,1.18,9.5,4.15,304,358.5,214.5,209,6,-0.2513089005235602,-0.01298701298701298,0,0,509
6918,31.55653,-99.67728,ivie,12.8,2022-08-07T17:47:07Z,2022-08-07T12:47:07Z,8.61,29.36,1.2,9.54,4.13,304,358.5,214.5,209,6,-0.2513089005235602,-0.01298701298701298,0,0,509
6918,31.86402,-99.02945,brownwood,1,2022-08-06T19:50:38Z,2022-08-06T14:50:38Z,8.46,30.62,1.57,10.85,10.18,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6919,31.55655,-99.67734,ivie,12.7,2022-08-07T17:47:08Z,2022-08-07T12:47:08Z,8.64,29.36,1.21,9.58,4.11,304,358.5,214.5,209,6,-0.2513089005235602,-0.01298701298701298,0,0,509
6919,31.86402,-99.02946,brownwood,0.9,2022-08-06T19:50:39Z,2022-08-06T14:50:39Z,8.46,30.62,1.55,10.77,10.17,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6920,31.55658,-99.6774,ivie,12.7,2022-08-07T17:47:09Z,2022-08-07T12:47:09Z,8.68,29.37,1.22,9.63,4.11,304,358.5,214.5,209,6,-0.2513089005235602,-0.01298701298701298,0,0,509
6921,31.5566,-99.67746,ivie,12.6,2022-08-07T17:47:10Z,2022-08-07T12:47:10Z,8.72,29.37,1.21,9.58,4.12,305.5,350.5,211,196.5,6,-0.24844167408726625,-0.03558282208588957,0,0,506
6922,31.55663,-99.67752,ivie,12.6,2022-08-07T17:47:11Z,2022-08-07T12:47:11Z,8.76,29.37,1.22,9.61,4.14,305.5,350.5,211,196.5,6,-0.24844167408726625,-0.03558282208588957,0,0,506
6923,31.55666,-99.67757,ivie,12.4,2022-08-07T17:47:12Z,2022-08-07T12:47:12Z,8.81,29.38,1.2,9.57,4.12,305.5,350.5,211,196.5,6,-0.24844167408726625,-0.03558282208588957,0,0,506
6923,31.86402,-99.02947,brownwood,0.8,2022-08-06T19:50:43Z,2022-08-06T14:50:43Z,8.45,30.63,1.55,10.77,10.29,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6924,31.55669,-99.67763,ivie,12.4,2022-08-07T17:47:13Z,2022-08-07T12:47:13Z,8.85,29.38,1.2,9.56,4.14,305.5,350.5,211,196.5,6,-0.24844167408726625,-0.03558282208588957,0,0,506
6924,31.86402,-99.02948,brownwood,0.8,2022-08-06T19:50:44Z,2022-08-06T14:50:44Z,8.44,30.63,1.56,10.79,10.3,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6925,31.55672,-99.67768,ivie,12.3,2022-08-07T17:47:14Z,2022-08-07T12:47:14Z,8.89,29.39,1.21,9.61,4.12,305.5,350.5,211,196.5,6,-0.24844167408726625,-0.03558282208588957,0,0,506
6926,31.55676,-99.67773,ivie,12.2,2022-08-07T17:47:15Z,2022-08-07T12:47:15Z,8.91,29.39,1.25,9.74,4.1,312.5,353,215,199,6,-0.24295774647887325,-0.03864734299516908,0,0,505
6926,31.86402,-99.02949,brownwood,0.8,2022-08-06T19:50:46Z,2022-08-06T14:50:46Z,8.44,30.63,1.51,10.64,10.27,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6927,31.5568,-99.67778,ivie,12,2022-08-07T17:47:16Z,2022-08-07T12:47:16Z,8.93,29.39,1.25,9.71,4.11,312.5,353,215,199,6,-0.24295774647887325,-0.03864734299516908,0,0,505
6928,31.55683,-99.67783,ivie,12,2022-08-07T17:47:17Z,2022-08-07T12:47:17Z,8.96,29.4,1.21,9.6,4.08,312.5,353,215,199,6,-0.24295774647887325,-0.03864734299516908,0,0,505
6928,31.86402,-99.0295,brownwood,0.7,2022-08-06T19:50:48Z,2022-08-06T14:50:48Z,8.45,30.63,1.5,10.6,10.28,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6929,31.55687,-99.67787,ivie,11.9,2022-08-07T17:47:18Z,2022-08-07T12:47:18Z,8.97,29.4,1.2,9.55,4.05,312.5,353,215,199,6,-0.24295774647887325,-0.03864734299516908,0,0,505
6930,31.55691,-99.67792,ivie,11.8,2022-08-07T17:47:19Z,2022-08-07T12:47:19Z,8.98,29.41,1.18,9.48,4.06,312.5,353,215,199,6,-0.24295774647887325,-0.03864734299516908,0,0,505
6931,31.55696,-99.67796,ivie,11.8,2022-08-07T17:47:20Z,2022-08-07T12:47:20Z,9,29.41,1.18,9.47,4.05,317,363,228.5,209,6,-0.22738799661876585,-0.04457142857142857,0,0,507
6932,31.557,-99.678,ivie,11.7,2022-08-07T17:47:21Z,2022-08-07T12:47:21Z,9.01,29.42,1.18,9.5,4.07,317,363,228.5,209,6,-0.22738799661876585,-0.04457142857142857,0,0,507
